0.000050  0.001780
0.000440 -0.005610
0.002640 -0.011200
0.007890 -0.014270
0.017180 -0.015500
0.030060 -0.015840
0.046270 -0.015320
0.065610 -0.014040
0.087870 -0.012020
0.112820 -0.009250
0.140200 -0.005630
0.170060 -0.000750
0.202780  0.005350
0.238400  0.012130
0.276730  0.019280
0.317500  0.026520
0.360440  0.033580
0.405190  0.040210
0.451390  0.046180
0.498600  0.051290
0.546390  0.055340
0.594280  0.058200
0.641760  0.059760
0.688320  0.059940
0.733440  0.058720
0.776600  0.056120
0.817290  0.052190
0.855000  0.047060
0.889280  0.040880
0.919660  0.033870
0.945730  0.026240
0.966930  0.018220
0.982550  0.010600
0.992680  0.004680
0.998250  0.001150
1.000000  0.000000
